t,CONST_TURNOVER (MoM % change) m1,CONST_TURNOVER (MoM % change) m2,CONST_TURNOVER (MoM % change) m3,PERMITS (level change) m1,PERMITS (level change) m2,PERMITS (level change) m3,MFG_ORDERS (MoM % change) m1,MFG_ORDERS (MoM % change) m2,MFG_ORDERS (MoM % change) m3,IND_PROD (MoM % change) m1,IND_PROD (MoM % change) m2,IND_PROD (MoM % change) m3,CAP_UTIL (ppt change),MFG_TURNOVER (MoM % change) m1,MFG_TURNOVER (MoM % change) m2,MFG_TURNOVER (MoM % change) m3,RETAIL_TURNOVER (MoM % change) m1,RETAIL_TURNOVER (MoM % change) m2,RETAIL_TURNOVER (MoM % change) m3,CONSUMPTION (QoQ % change),DISP_INC (QoQ % change),EMPLOYMENT_ESA (level change) m1,EMPLOYMENT_ESA (level change) m2,EMPLOYMENT_ESA (level change) m3,UNEMPLOYMENT (ppt change) m1,UNEMPLOYMENT (ppt change) m2,UNEMPLOYMENT (ppt change) m3,EMPLOYMENT_SV (level change) m1,EMPLOYMENT_SV (level change) m2,EMPLOYMENT_SV (level change) m3,ULC (QoQ % change),VACANCIES m1,VACANCIES m2,VACANCIES m3,IMPORT_PRC (MoM % change) m1,IMPORT_PRC (MoM % change) m2,IMPORT_PRC (MoM % change) m3,EXPORT_PRC (MoM % change) m1,EXPORT_PRC (MoM % change) m2,EXPORT_PRC (MoM % change) m3,IMPORTS (QoQ % change),EXPORTS (QoQ % change),IFO_BCI m1,IFO_BCI m2,IFO_BCI m3,IFO_EMP m1,IFO_EMP m2,IFO_EMP m3,GDP (QoQ % change),HICP (MoM % change) m1,HICP (MoM % change) m2,HICP (MoM % change) m3,CPI_CORE (MoM % change) m1,CPI_CORE (MoM % change) m2,CPI_CORE (MoM % change) m3,PPI (MoM % change) m1,PPI (MoM % change) m2,PPI (MoM % change) m3,GNI (QoQ % change)
1991-01-01,0.6264918374109298,-0.1101628313519938,0.9994061776057218,-2.053917007874016,-0.7384468750000013,0.5757708593750012,-0.584936214576949,-4.23011844331641,1.7667844522968101,-0.037193516262137113,-1.1002444987774918,-0.8652657601977753,-1.2999999999999972,-0.3519341423299849,-1.7889087656529523,0.18214936247722413,-0.19104169584281896,0.15901504178651604,0.2341036929553198,0.2669333775552983,0.7225291638836345,15.60431654676259,-124.0,-124.0,-0.0071942446043166235,0.0,0.09999999999999964,23.87735849056604,24.632075471698112,21.830188679245282,0.5140178855779199,517.4807692307693,518.1923076923077,518.7980769230769,-0.7556675062972418,-0.761421319796951,0.5115089514066362,0.13020833333334814,-0.13003901170351995,0.0,0.9438272609436854,0.9254349023270887,95.43214285714285,95.50238095238095,95.40357142857144,97.43124999999999,97.49166666666667,97.45729166666668,2.729544879,0.1981332872094802,0.13364698090949864,0.14678581850323696,0.10795740880450043,0.15149893548855778,0.1333552558626988,0.17034618159300832,0.1524390243902607,-0.15220700152208666,0.7992261994067834
1991-04-01,0.6264918374109298,-0.1101628313519938,0.9994061776057218,-2.053917007874016,-0.7384468750000013,0.5757708593750012,-2.777777777777779,-0.5357142857142838,1.6157989228007263,-0.8728179551122262,-1.0062893081761004,3.684879288437082,-0.6000000000000085,-0.363636363636366,-0.36496350364962904,2.19780219780219,-0.19104169584281896,0.15901504178651604,0.2341036929553198,-0.08982420120622336,3.2208910460035156,-8.0,-36.0,-96.0,0.0,0.0,0.10000000000000053,23.87735849056604,24.632075471698112,21.830188679245282,5.200859492707344,517.4807692307693,518.1923076923077,518.7980769230769,1.0178117048346147,-0.12594458438288658,0.3783102143757766,0.5208333333333481,-0.12953367875648825,0.12970168612194133,0.579206487112649,-5.857359635811843,95.43214285714285,95.50238095238095,95.40357142857144,97.43124999999999,97.49166666666667,97.45729166666668,-0.480155175,0.1981332872094802,0.13364698090949864,0.14678581850323696,0.10795740880450043,0.15149893548855778,0.1333552558626988,0.9146341463414753,0.0,0.1510574018126709,2.066229347892512
1991-07-01,0.6264918374109298,-0.1101628313519938,0.9994061776057218,-2.053917007874016,-0.7384468750000013,0.5757708593750012,-2.6501766784452263,5.6261343012704135,-4.982817869415812,-3.1862745098039102,-1.0126582278480956,-0.38363171355498826,-1.1999999999999886,-1.7921146953404965,-1.0948905109488982,0.5535055350553542,-0.19104169584281896,0.15901504178651604,0.2341036929553198,-1.6311328024659622,-0.8915948730365719,-134.0,-160.0,-50.0,0.09999999999999964,0.09999999999999964,0.10000000000000053,23.87735849056604,24.632075471698112,21.830188679245282,0.7049088526008163,517.4807692307693,518.1923076923077,518.7980769230769,0.12562814070353756,-0.37641154328732496,-0.8816120906801062,0.2590673575129543,-0.12919896640828377,0.0,1.324503311258285,4.835589941972929,95.43214285714285,95.50238095238095,95.40357142857144,97.43124999999999,97.49166666666667,97.45729166666668,-0.156095701,0.1981332872094802,0.13364698090949864,0.14678581850323696,0.10795740880450043,0.15149893548855778,0.1333552558626988,0.7541478129713397,0.14970059880241582,0.2989536621823552,0.5097178214116482
1991-10-01,0.6264918374109298,-0.1101628313519938,0.9994061776057218,-2.053917007874016,-0.7384468750000013,0.5757708593750012,1.9891500904159143,1.773049645390068,1.0452961672473782,1.5404364569961304,1.137800252844512,-0.2500000000000058,-0.9000000000000057,2.2018348623853212,2.333931777378817,-2.1052631578947434,-0.19104169584281896,0.15901504178651604,0.2341036929553198,1.5667841754798406,3.4747315535415213,55.0,15.0,-20.0,0.09999999999999964,0.10000000000000053,0.09999999999999964,23.87735849056604,24.632075471698112,21.830188679245282,0.0928260202351705,517.4807692307693,518.1923076923077,518.7980769230769,0.12706480304955914,-0.2538071065989911,-1.1450381679389166,0.0,0.0,-0.1293661060801976,-0.19892014776925482,0.21525215252151675,95.43214285714285,95.50238095238095,95.40357142857144,97.43124999999999,97.49166666666667,97.45729166666668,1.435471387,0.1981332872094802,0.13364698090949864,0.14678581850323696,0.10795740880450043,0.15149893548855778,0.1333552558626988,-0.14903129657226621,0.14925373134326847,0.0,2.0372195316902264
1992-01-01,0.6264918374109298,-0.1101628313519938,0.9994061776057218,-2.053917007874016,-0.7384468750000013,0.5757708593750012,-0.8620689655172376,0.17391304347826875,-0.694444444444442,1.6290726817042467,0.9864364981504448,-2.3199023199023228,-0.20000000000000284,1.0752688172043001,0.8865248226950451,-1.5817223198594021,-0.19104169584281896,0.15901504178651604,0.2341036929553198,2.069674765394014,2.6611524298058242,-24.0,-30.0,-46.0,0.0,0.09999999999999964,0.10000000000000053,23.87735849056604,24.632075471698112,21.830188679245282,1.5004426771873636,517.4807692307693,518.1923076923077,518.7980769230769,-0.38610038610038533,0.2583979328165231,0.38659793814435073,0.2590673575129543,0.2583979328165231,0.0,3.4738041002278175,1.2273703590058194,95.43214285714285,95.50238095238095,95.40357142857144,97.43124999999999,97.49166666666667,97.45729166666668,1.376711473,0.1981332872094802,0.13364698090949864,0.14678581850323696,0.10795740880450043,0.15149893548855778,0.1333552558626988,-0.5961251862891093,0.4497751124437732,0.29850746268658135,4.054882498905266
1992-04-01,0.6264918374109298,-0.1101628313519938,0.9994061776057218,-2.053917007874016,-0.7384468750000013,0.5757708593750012,-3.146853146853157,-2.166064981949456,-2.2140221402214055,-0.12499999999999734,-1.126408010012525,-1.0126582278480956,-5.3999999999999915,0.3571428571428559,-0.5338078291814985,-1.073345259391778,-0.19104169584281896,0.15901504178651604,0.2341036929553198,-0.23929471032747562,0.9077049198571219,-31.0,-28.0,-40.0,0.09999999999999964,0.10000000000000053,0.09999999999999964,23.87735849056604,24.632075471698112,21.830188679245282,2.888624283203245,517.4807692307693,518.1923076923077,518.7980769230769,-0.12836970474968679,-0.12853470437017567,-0.38610038610038533,0.38659793814435073,0.0,0.0,-2.861860209135958,-4.819642315853301,95.43214285714285,95.50238095238095,95.40357142857144,97.43124999999999,97.49166666666667,97.45729166666668,-0.621976503,0.1981332872094802,0.13364698090949864,0.14678581850323696,0.10795740880450043,0.15149893548855778,0.1333552558626988,0.44642857142855874,-0.1481481481481417,0.4451038575667532,0.2211685931245988
1992-07-01,0.6264918374109298,-0.1101628313519938,0.9994061776057218,-2.053917007874016,-0.7384468750000013,0.5757708593750012,-2.075471698113207,0.9633911368015502,0.5725190839694694,-2.1739130434782594,0.9150326797385588,-0.90673575129534,-1.0,-1.9891500904159032,0.18450184501843658,1.104972375690605,-0.19104169584281896,0.15901504178651604,0.2341036929553198,0.4544880696881748,1.131133559780606,-63.0,-74.0,-70.0,0.09999999999999964,0.20000000000000018,0.10000000000000053,23.87735849056604,24.632075471698112,21.830188679245282,3.395635741382752,517.4807692307693,518.1923076923077,518.7980769230769,-0.6459948320413411,-0.6501950585175553,-0.654450261780104,-0.12836970474968679,-0.12853470437017567,-0.12870012870014325,-0.4249291784702458,2.770700636942691,95.43214285714285,95.50238095238095,95.40357142857144,97.43124999999999,97.49166666666667,97.45729166666668,-0.236441756,0.1981332872094802,0.13364698090949864,0.14678581850323696,0.10795740880450043,0.15149893548855778,0.1333552558626988,-0.2954209748892267,0.0,-0.1481481481481417,1.265530449712382
1992-10-01,0.6264918374109298,-0.1101628313519938,0.9994061776057218,-2.053917007874016,-0.7384468750000013,0.5757708593750012,-5.692599620493355,1.2072434607645732,1.988071570576544,-0.13071895424835445,-1.5706806282722585,-1.8617021276595813,-1.8000000000000114,-1.821493624772308,-0.5565862708719838,1.4925373134328401,-0.19104169584281896,0.15901504178651604,0.2341036929553198,0.6912152821415329,1.3220406753784886,-64.0,-49.0,-35.0,0.09999999999999964,0.09999999999999964,0.10000000000000053,23.87735849056604,24.632075471698112,21.830188679245282,-0.3536560413191836,517.4807692307693,518.1923076923077,518.7980769230769,0.13175230566533358,0.39473684210526994,-0.1310615989514985,-0.12886597938143174,0.1290322580645098,0.0,1.4224751066856278,-4.617291602107221,95.43214285714285,95.50238095238095,95.40357142857144,97.43124999999999,97.49166666666667,97.45729166666668,-0.27882014,0.1981332872094802,0.13364698090949864,0.14678581850323696,0.10795740880450043,0.15149893548855778,0.1333552558626988,-0.14836795252226587,0.14858841010403356,0.0,0.08753763542417303
1993-01-01,0.6264918374109298,-0.1101628313519938,0.9994061776057218,-2.053917007874016,-0.7384468750000013,0.5757708593750012,-1.754385964912275,-2.777777777777779,-2.0408163265306145,-0.13550135501354532,-1.6282225237449155,-0.13793103448275223,-1.1999999999999886,-4.9632352941176405,0.0,-0.19342359767892114,-0.19104169584281896,0.15901504178651604,0.2341036929553198,-0.44932601098351954,0.33507688113021405,13.0,-28.0,-56.0,0.09999999999999964,0.10000000000000053,0.09999999999999964,23.87735849056604,24.632075471698112,21.830188679245282,0.22598382110652349,517.4807692307693,518.1923076923077,518.7980769230769,-0.2624671916010568,0.1315789473684159,0.13140604467807293,0.0,0.0,0.0,-9.565217391304337,-3.378817413905144,95.43214285714285,95.50238095238095,95.40357142857144,97.43124999999999,97.49166666666667,97.45729166666668,-0.79338977,0.1981332872094802,0.13364698090949864,0.14678581850323696,0.10795740880450043,0.15149893548855778,0.1333552558626988,-0.14836795252226587,0.2971768202080227,0.0,0.1399377185088424
1993-04-01,0.6264918374109298,-0.1101628313519938,0.9994061776057218,-2.053917007874016,-0.7384468750000013,0.5757708593750012,0.2083333333333437,2.079002079002068,-1.6293279022403295,-0.8287292817679703,-0.2785515320334331,-0.41899441340781385,-0.4000000000000057,-0.19379844961240345,-1.747572815533982,0.0,-0.19104169584281896,0.15901504178651604,0.2341036929553198,-0.5641925777332024,1.1963843876485747,-59.0,-75.0,-31.0,0.0,0.09999999999999964,0.10000000000000053,23.87735849056604,24.632075471698112,21.830188679245282,1.694862851686607,517.4807692307693,518.1923076923077,518.7980769230769,-0.7874015748031593,-0.2645502645502451,0.3978779840848823,0.0,0.0,0.12886597938146505,0.8064516129032251,-2.286482851378613,95.43214285714285,95.50238095238095,95.40357142857144,97.43124999999999,97.49166666666667,97.45729166666668,0.014098813,0.1981332872094802,0.13364698090949864,0.14678581850323696,0.10795740880450043,0.15149893548855778,0.1333552558626988,-0.2962962962963056,0.0,0.0,1.6559906409522762
