t,GDP (QoQ % change)
2020-04-01,-8.874121348
2020-07-01,8.676539989
2020-10-01,0.967136602
2021-01-01,-0.61577059
2021-04-01,2.35050875
2021-07-01,0.0864778
2021-10-01,0.537633511
2022-01-01,0.677998691
2022-04-01,0.151757481
2022-07-01,0.293588631
2022-10-01,-0.349383371
2023-01-01,-0.471430686
2023-04-01,-0.076170873
2023-07-01,4.418e-06
2023-10-01,-0.276321878
2024-01-01,-0.107481162
2024-04-01,-0.258253405
2024-07-01,0.019178466
2024-10-01,0.182171054
2025-01-01,0.366064729
2025-04-01,-0.200249999
2025-07-01,-0.028660904
2025-10-01,0.296283038
