t,MFG_TURNOVER
2009-06-01,71.2
2009-07-01,70.4
2009-08-01,71.1
2009-09-01,73.9
2009-10-01,72.8
2009-11-01,73.4
2009-12-01,74.1
2010-01-01,73.8
2010-02-01,74.0
2010-03-01,76.3
2010-04-01,77.6
2010-05-01,80.4
2010-06-01,81.1
2010-07-01,79.9
2010-08-01,81.6
2010-09-01,82.3
2010-10-01,84.7
2010-11-01,85.3
2010-12-01,86.5
2011-01-01,86.1
2011-02-01,87.0
2011-03-01,88.0
2011-04-01,88.4
2011-05-01,88.0
2011-06-01,88.4
2011-07-01,90.4
2011-08-01,90.4
2011-09-01,89.7
2011-10-01,89.6
2011-11-01,89.1
2011-12-01,87.8
2012-01-01,88.6
2012-02-01,89.8
2012-03-01,90.4
2012-04-01,88.6
2012-05-01,90.6
2012-06-01,89.5
2012-07-01,90.1
2012-08-01,90.9
2012-09-01,89.1
2012-10-01,87.8
2012-11-01,87.7
2012-12-01,88.0
2013-01-01,86.8
2013-02-01,87.4
2013-03-01,89.5
2013-04-01,89.3
2013-05-01,88.9
2013-06-01,88.7
2013-07-01,87.9
2013-08-01,90.1
2013-09-01,90.1
2013-10-01,89.3
2013-11-01,91.8
2013-12-01,91.3
2014-01-01,92.8
2014-02-01,91.5
2014-03-01,91.4
2014-04-01,91.1
2014-05-01,89.8
2014-06-01,91.5
2014-07-01,92.4
2014-08-01,89.7
2014-09-01,91.7
2014-10-01,92.2
2014-11-01,92.4
2014-12-01,93.4
2015-01-01,92.9
2015-02-01,93.0
2015-03-01,93.0
2015-04-01,93.8
2015-05-01,94.6
2015-06-01,93.7
2015-07-01,95.7
2015-08-01,92.7
2015-09-01,92.7
2015-10-01,94.5
2015-11-01,92.3
2015-12-01,94.2
2016-01-01,94.1
2016-02-01,94.3
2016-03-01,93.4
2016-04-01,93.5
2016-05-01,93.3
2016-06-01,93.2
2016-07-01,92.5
2016-08-01,94.3
2016-09-01,94.4
2016-10-01,95.1
2016-11-01,95.4
2016-12-01,93.4
2017-01-01,95.0
2017-02-01,97.2
2017-03-01,97.3
2017-04-01,98.9
2017-05-01,99.1
2017-06-01,99.5
2017-07-01,99.5
2017-08-01,101.8
2017-09-01,101.3
2017-10-01,99.8
2017-11-01,103.3
2017-12-01,102.8
