ifo Geschäftsklima Deutschland und seine Komponenten;;;;;;;;
(seit Januar 2005);;;;;;;;
Lange Zeitreihen für das ifo Geschäftsklima Deutschland;;;;;;;;
und seine beiden Komponenten Geschäftslage und -erwartungen ;;;;;;;;
;;;;;;;;
;Deutschland;;;;;;;
;Indexwerte, 2015 = 100, saisonbereinigt;;;Salden, saisonbereinigt;;;ifo Geschäftsunsicherheit;ifo Konjunkturampel
Monat/Jahr; Geschäftsklima;Geschäftslage;Geschäftserwartungen; Geschäftsklima;Geschäftslage;Geschäftserwartungen;Ursprungswerte ab 04/2019;Wahrscheinlichkeit für eine expansive Entwicklung in %
;;;;;;;;
 09/2011;98,0;100,2;95,8;14,2;28,3;0,9;;1,5
 10/2011;97,9;100,2;95,7;14,0;28,3;0,6;;10,0
 11/2011;98,1;100,9;95,5;14,5;29,8;0,2;;26,9
 12/2011;98,1;100,9;95,4;14,4;29,9;0,0;;29,0
 01/2012;98,5;100,2;96,8;15,2;28,3;2,9;;27,4
 02/2012;99,3;100,8;97,9;17,0;29,6;5,2;;70,8
 03/2012;99,5;100,4;98,7;17,6;28,7;7,0;;53,3
 04/2012;100,0;101,6;98,6;18,7;31,4;6,7;;72,4
 05/2012;98,9;100,9;96,9;16,1;30,0;3,2;;81,4
 06/2012;96,8;98,9;94,8;11,7;25,4;-1,2;;60,2
 07/2012;95,5;97,5;93,7;8,8;22,0;-3,6;;82,0
 08/2012;95,0;97,3;92,8;7,7;21,7;-5,3;;4,4
 09/2012;94,8;96,3;93,4;7,2;19,3;-4,2;;1,5
 10/2012;94,7;95,8;93,7;7,0;18,2;-3,6;;10,0
 11/2012;94,1;95,2;92,9;5,6;16,9;-5,2;;26,9
 12/2012;95,4;95,6;95,2;8,5;17,9;-0,4;;29,0
 01/2013;96,4;96,6;96,2;10,7;20,0;1,7;;93,7
 02/2013;97,3;95,3;99,3;12,7;17,2;8,3;;97,1
 03/2013;97,6;96,4;98,8;13,3;19,6;7,3;;92,5
 04/2013;95,9;94,0;97,9;9,7;14,3;5,2;;36,3
 05/2013;97,1;95,7;98,5;12,2;18,1;6,5;;79,6
 06/2013;96,5;95,3;97,7;10,9;17,1;4,9;;75,6
 07/2013;98,0;97,1;98,9;14,2;21,3;7,3;;96,1
 08/2013;98,6;96,9;100,4;15,6;20,7;10,6;;97,6
 09/2013;99,0;97,1;100,9;16,4;21,2;11,6;;93,8
 10/2013;98,9;98,0;99,8;16,1;23,3;9,2;;85,4
 11/2013;99,6;97,8;101,3;17,6;22,9;12,5;;93,7
 12/2013;100,4;99,1;101,7;19,4;25,8;13,2;;95,4
 01/2014;101,4;100,1;102,7;21,7;28,1;15,5;;97,0
 02/2014;101,3;99,9;102,8;21,5;27,6;15,5;;91,3
 03/2014;101,2;100,6;101,9;21,3;29,2;13,6;;80,8
 04/2014;102,1;102,1;102,0;23,1;32,7;13,9;;94,2
 05/2014;100,1;99,6;100,6;18,8;27,0;10,9;;46,9
 06/2014;99,8;99,4;100,1;18,0;26,4;10,0;;44,9
 07/2014;99,5;99,2;99,8;17,4;26,0;9,2;;39,4
 08/2014;98,3;98,6;98,0;14,9;24,7;5,5;;13,1
 09/2014;97,7;98,4;97,0;13,5;24,2;3,4;;9,3
 10/2014;96,3;96,7;95,9;10,5;20,3;1,0;;2,7
 11/2014;96,0;96,1;95,9;9,9;18,9;1,2;;8,1
 12/2014;98,2;98,4;98,1;14,7;24,1;5,7;;89,0
 01/2015;98,9;98,8;98,9;16,1;25,2;7,3;;90,5
 02/2015;98,8;98,1;99,5;15,9;23,5;8,6;;84,6
 03/2015;99,1;98,6;99,6;16,6;24,6;8,9;;84,4
 04/2015;100,1;100,2;100,0;18,9;28,4;9,8;;95,8
 05/2015;100,4;100,5;100,2;19,4;29,0;10,2;;96,1
 06/2015;100,1;100,2;100,1;18,9;28,3;9,9;;94,0
 07/2015;99,6;100,5;98,8;17,8;29,1;7,1;;72,7
 08/2015;100,6;100,8;100,3;19,8;29,7;10,3;;95,6
 09/2015;100,1;100,9;99,2;18,8;30,0;8,1;;72,1
 10/2015;100,6;100,2;101,0;19,9;28,3;11,8;;87,5
 11/2015;101,0;100,4;101,6;20,8;28,8;13,0;;88,1
 12/2015;100,7;100,6;100,8;20,0;29,1;11,3;;77,6
 01/2016;99,8;100,2;99,3;18,0;28,2;8,3;;26,2
 02/2016;98,7;99,8;97,6;15,8;27,4;4,7;;11,5
 03/2016;99,1;99,5;98,8;16,7;26,7;7,2;;22,5
 04/2016;100,1;100,2;99,9;18,7;28,3;9,5;;66,7
 05/2016;99,8;100,1;99,4;18,1;28,1;8,5;;71,9
 06/2016;100,0;101,0;99,0;18,5;30,1;7,6;;91,8
 07/2016;100,0;99,8;100,1;18,5;27,4;9,9;;87,5
 08/2016;99,6;99,5;99,8;17,8;26,6;9,2;;82,1
 09/2016;100,8;100,6;101,0;20,4;29,3;11,8;;93,6
 10/2016;101,3;100,6;101,9;21,4;29,3;13,7;;93,8
 11/2016;101,6;102,2;101,0;22,1;32,8;11,9;;92,9
 12/2016;101,0;101,8;100,2;20,7;31,9;10,1;;71,1
 01/2017;101,3;101,9;100,7;21,5;32,3;11,2;;65,1
 02/2017;101,3;102,5;100,0;21,4;33,6;9,8;;67,4
 03/2017;101,9;103,4;100,4;22,7;35,6;10,5;;78,4
 04/2017;103,6;105,1;102,2;26,5;39,5;14,3;;97,4
 05/2017;102,7;104,4;101,0;24,4;37,9;11,7;;88,8
 06/2017;102,7;104,7;100,7;24,4;38,5;11,1;;93,8
 07/2017;103,8;106,7;101,0;26,8;43,0;11,7;;97,6
 08/2017;103,6;105,6;101,6;26,4;40,6;13,1;;91,7
 09/2017;103,9;105,9;101,9;27,1;41,3;13,6;;89,1
 10/2017;104,3;106,3;102,4;28,1;42,3;14,7;;94,8
 11/2017;105,0;106,6;103,4;29,4;42,9;16,8;;92,3
 12/2017;104,7;107,0;102,5;28,9;43,9;14,9;;84,0
 01/2018;105,0;108,5;101,7;29,6;47,2;13,2;;76,5
 02/2018;104,0;107,6;100,6;27,4;45,2;10,9;;47,0
 03/2018;103,9;106,9;101,0;27,1;43,6;11,8;;26,9
 04/2018;103,5;106,4;100,6;26,1;42,3;11,0;;7,6
 05/2018;102,8;106,7;99,1;24,8;43,0;7,9;;18,5
 06/2018;101,6;105,8;97,6;22,1;41,1;4,7;;14,7
 07/2018;101,6;105,9;97,5;22,1;41,4;4,4;;21,4
 08/2018;103,7;107,0;100,6;26,7;43,7;10,9;;93,3
 09/2018;103,8;107,2;100,4;26,8;44,3;10,5;;85,0
 10/2018;102,9;106,3;99,6;24,9;42,2;8,8;;52,8
 11/2018;102,3;106,2;98,6;23,6;41,9;6,7;;23,5
 12/2018;101,2;105,3;97,3;21,2;39,9;4,0;;8,7
 01/2019;99,6;104,9;94,5;17,7;39,0;-1,8;;1,2
 02/2019;98,7;103,7;94,0;15,7;36,2;-3,0;;4,0
 03/2019;99,9;104,1;95,9;18,4;37,2;1,0;;43,5
 04/2019;100,6;104,3;97,1;20,0;37,7;3,5;52,6;29,7
 05/2019;98,3;101,4;95,3;14,9;31,0;-0,1;52,5;6,9
 06/2019;96,8;101,2;92,6;11,5;30,5;-5,9;53,3;8,6
 07/2019;95,5;100,0;91,1;8,7;27,9;-8,9;54,4;1,3
 08/2019;94,1;97,3;90,9;5,6;21,7;-9,3;55,0;1,3
 09/2019;94,8;98,9;90,9;7,1;25,2;-9,5;55,7;18,3
 10/2019;94,9;98,0;92,0;7,5;23,3;-7,1;56,2;27,1
 11/2019;95,3;98,3;92,4;8,3;23,9;-6,1;56,0;46,7
 12/2019;96,5;99,1;94,0;11,0;25,8;-2,8;55,9;89,1
 01/2020;96,1;99,7;92,7;10,1;27,1;-5,7;55,1;74,8
 02/2020;96,0;99,0;93,0;9,8;25,6;-4,9;55,3;77,7
 03/2020;86,3;92,9;80,2;-11,4;11,6;-31,9;65,0;0,7
 04/2020;75,0;79,2;71,0;-36,1;-19,6;-51,1;74,2;0,0
 05/2020;79,5;78,6;80,4;-26,2;-21,0;-31,3;70,9;92,8
