ifo Beschäftigungsbarometer;;;;;;;
(seit Januar 2002);;;;;;;
Lange Zeitreihen für das ifo Beschäftigungsbarometer für Deutschland;;;;;;;
;;;;;;;
Quelle: ifo Institut;;;;;;;
;;;;;;;
Indexwerte, 2015 = 100, saisonbereinigt;;;;;;;
;;;;;;;
Monat, Jahr;;Verarbeitendes Gewerbe;Bauhauptgewerbe;Handel;Dienstleistungssektor;;
3/2010;95,5;-12,2;-13,4;-7,9;3,3;;
4/2010;97,0;-7,0;-10,0;-1,9;4,6;;
5/2010;97,0;-5,0;-8,7;-0,6;3,6;;
6/2010;96,5;-3,7;-9,2;-0,8;1,1;;
7/2010;98,3;0,5;-8,3;4,0;4,4;;
8/2010;99,7;2,8;-8,0;4,2;8,6;;
9/2010;99,4;3,3;-7,5;6,2;6,7;;
10/2010;100,6;8,9;-3,8;6,3;8,4;;
11/2010;101,2;9,9;-4,4;7,6;9,8;;
12/2010;101,3;11,4;-4,0;7,4;9,7;;
1/2011;101,4;12,1;-1,7;6,4;10,0;;
2/2011;101,9;13,1;0,2;8,1;10,6;;
3/2011;102,9;14,7;1,0;9,1;13,3;;
4/2011;103,2;14,8;-0,1;8,1;14,6;;
5/2011;102,2;13,8;-0,9;7,4;11,6;;
6/2011;101,9;12,4;0,6;7,2;11,1;;
7/2011;101,8;11,6;-0,5;6,0;11,4;;
8/2011;100,0;6,0;1,3;4,2;7,6;;
9/2011;100,2;7,6;0,0;4,2;7,7;;
10/2011;100,2;6,0;-4,7;2,3;9,4;;
11/2011;100,0;3,9;-1,4;3,6;8,8;;
12/2011;99,7;2,3;-1,8;3,4;8,7;;
1/2012;100,4;4,0;-0,2;4,4;10,0;;
2/2012;100,2;1,9;-0,3;6,1;9,6;;
3/2012;100,7;1,6;-0,7;4,1;12,3;;
4/2012;100,2;3,6;-1,3;4,1;9,6;;
5/2012;100,5;-1,2;2,1;3,4;12,6;;
6/2012;98,9;-1,5;0,6;3,2;7,1;;
7/2012;98,5;-5,3;-0,7;2,0;7,4;;
8/2012;98,3;-5,7;-2,6;1,2;7,6;;
9/2012;98,0;-8,1;-0,4;-0,8;7,7;;
10/2012;97,0;-10,0;-3,7;-1,7;5,4;;
11/2012;98,2;-6,2;-1,3;-1,4;7,8;;
12/2012;98,7;-6,9;-5,0;-2,6;10,7;;
1/2013;98,3;-5,2;0,5;-2,6;8,0;;
2/2013;98,5;-4,4;-0,4;-2,9;8,6;;
3/2013;98,6;-4,4;-3,3;-2,9;9,3;;
4/2013;98,2;-6,7;-0,5;-3,9;8,6;;
5/2013;98,4;-6,1;0,1;-2,6;8,6;;
6/2013;97,3;-6,4;-0,6;-3,8;5,1;;
7/2013;97,7;-4,0;2,0;-4,0;5,4;;
8/2013;99,1;-2,5;2,5;0,2;8,6;;
9/2013;99,0;0,1;2,2;-0,8;7,7;;
10/2013;99,1;0,1;3,5;0,3;7,4;;
11/2013;99,8;1,6;1,7;-0,4;9,8;;
12/2013;99,6;0,9;-0,6;-0,6;9,7;;
1/2014;99,0;1,6;-1,8;0,4;7,0;;
2/2014;100,3;1,4;-0,1;1,1;11,6;;
3/2014;100,7;2,6;-0,8;3,1;12,3;;
4/2014;100,6;1,2;-2,9;3,1;12,6;;
5/2014;99,6;1,1;-3,8;1,4;9,6;;
6/2014;98,8;-0,3;-2,9;0,2;7,1;;
7/2014;98,6;-0,8;-4,6;-2,0;7,4;;
8/2014;99,0;-2,3;-3,6;-1,8;9,6;;
9/2014;99,1;0,3;-1,8;-2,8;8,7;;
10/2014;98,5;-5,8;-0,2;-3,7;9,4;;
11/2014;97,3;-5,6;-3,2;-2,4;4,8;;
12/2014;98,2;-3,3;-2,2;-4,6;7,7;;
1/2015;98,5;-2,7;-1,9;-2,6;8,0;;
2/2015;98,6;-0,8;-4,6;-2,9;7,6;;
3/2015;99,9;1,5;-3,2;-1,9;11,3;;
4/2015;100,2;2,2;-3,4;0,1;11,6;;
5/2015;100,1;2,3;-5,0;-0,6;11,6;;
6/2015;99,9;1,9;-5,4;-1,8;11,1;;
7/2015;100,5;1,5;-2,3;1,0;12,4;;
8/2015;99,9;-2,1;0,6;1,2;11,6;;
9/2015;99,7;-0,7;-1,6;0,2;10,7;;
10/2015;100,5;-3,7;-0,9;1,3;14,4;;
11/2015;101,0;-1,8;3,7;2,6;14,8;;
12/2015;101,2;-1,5;2,3;2,4;15,7;;
1/2016;101,0;-2,9;-1,1;1,4;16,0;;
2/2016;99,7;-4,1;1,8;0,1;11,6;;
3/2016;99,5;-3,5;2,4;1,1;10,3;;
4/2016;100,4;-2,8;-0,7;2,1;13,6;;
5/2016;100,2;-1,4;3,6;2,4;11,6;;
6/2016;99,9;0,0;7,2;4,2;9,1;;
7/2016;100,6;-0,3;5,7;3,0;12,4;;
8/2016;100,7;0,9;6,8;1,2;12,6;;
9/2016;101,7;2,3;9,9;3,2;14,7;;
10/2016;101,9;3,4;6,4;3,3;15,4;;
11/2016;102,1;3,2;5,7;1,6;16,8;;
12/2016;102,3;3,2;7,9;4,4;16,7;;
1/2017;102,1;4,8;6,4;2,4;16,0;;
2/2017;101,9;6,8;7,0;4,1;13,6;;
3/2017;101,5;5,6;9,1;5,1;12,3;;
4/2017;103,1;8,2;12,4;6,1;16,6;;
5/2017;102,7;9,9;13,0;4,4;14,6;;
6/2017;103,0;10,1;14,6;5,2;15,1;;
7/2017;103,6;11,7;12,9;7,0;16,4;;
8/2017;102,9;12,9;13,3;6,2;13,6;;
9/2017;103,6;11,4;11,1;7,2;16,7;;
10/2017;103,5;13,6;7,6;8,3;15,4;;
11/2017;103,3;13,2;9,6;8,6;14,8;;
12/2017;104,5;15,9;9,6;9,4;17,7;;
1/2018;105,0;14,6;12,7;9,4;20,0;;
2/2018;105,0;12,7;12,2;10,1;20,6;;
3/2018;104,4;12,7;12,0;7,1;19,3;;
4/2018;103,9;14,2;13,5;7,1;16,6;;
5/2018;104,5;12,1;13,3;7,4;19,6;;
6/2018;104,1;13,1;11,0;6,2;18,1;;
7/2018;104,4;11,7;14,2;7,0;19,4;;
8/2018;105,0;9,8;12,8;6,2;22,6;;
9/2018;105,0;12,5;13,1;6,2;21,7;;
10/2018;104,6;10,0;16,9;4,3;21,4;;
11/2018;103,5;10,2;18,4;4,6;16,8;;
12/2018;104,0;8,6;14,5;4,4;19,7;;
1/2019;102,8;3,2;14,0;3,4;18,0;;
2/2019;102,9;2,7;17,3;2,1;18,6;;
3/2019;101,5;-2,3;17,0;3,1;15,3;;
4/2019;101,9;-3,7;13,7;4,1;17,6;;
5/2019;100,6;-4,8;14,5;2,4;13,6;;
6/2019;99,9;-8,0;13,4;-0,8;13,1;;
7/2019;99,6;-12,4;14,8;1,0;13,4;;
8/2019;98,0;-11,3;12,2;-0,8;7,6;;
9/2019;98,9;-12,4;9,9;-0,8;11,7;;
10/2019;98,8;-10,7;11,0;-0,7;10,4;;
11/2019;99,4;-12,8;8,0;-0,4;13,8;;
12/2019;99,0;-15,4;10,7;1,4;12,7;;
1/2020;99,4;-16,2;10,4;0,4;15,0;;
2/2020;98,2;-17,4;10,6;1,1;10,6;;
3/2020;93,5;-19,2;3,8;-7,9;-2,7;;
4/2020;86,7;-28,7;-5,1;-24,9;-18,4;;
5/2020;88,5;-28,7;-3,4;-19,6;-13,4;;
6/2020;92,1;-26,1;2,8;-11,8;-3,9;;
7/2020;93,3;-23,5;1,5;-8,0;-1,6;;
8/2020;95,2;-19,5;2,2;-7,8;3,6;;
9/2020;96,2;-16,3;4,7;-3,8;4,7;;
10/2020;96,7;-11,3;3,4;0,3;3,4;;
11/2020;96,7;-12,7;1,8;-2,4;4,8;;
12/2020;95,6;-10,3;1,9;-1,6;-0,3;;
1/2021;95,2;-10,3;0,9;-8,6;0,0;;
2/2021;94,9;-5,4;0,1;-7,9;-3,4;;
3/2021;97,7;-1,4;0,7;-3,9;4,3;;
4/2021;98,3;2,2;2,9;0,1;3,6;;
5/2021;100,0;3,4;2,7;3,4;8,6;;
6/2021;103,4;7,9;5,1;7,2;18,1;;
7/2021;102,4;15,4;5,0;10,0;10,4;;
8/2021;103,5;14,3;4,9;8,2;15,6;;
9/2021;104,5;14,8;9,4;8,2;18,7;;
10/2021;104,1;16,2;6,9;9,3;16,4;;
