STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,,FREQ,,MEASURE,,UNIT_MEASURE,,ACTIVITY,,ADJUSTMENT,,TRANSFORMATION,,TIME_HORIZ,,METHODOLOGY,,TIME_PERIOD,,OBS_VALUE,,OBS_STATUS,,UNIT_MULT,,DECIMALS,,BASE_PER,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_INDSERV(4.3),,I,DEU,,M,,NODW,,IX,,F41,,Y,,_Z,,_Z,,N,,2016-01,,115.3434,,A,,0,,2,,2015,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_INDSERV(4.3),,I,DEU,,M,,NODW,,IX,,F41,,Y,,_Z,,_Z,,N,,2016-02,,115.9743,,A,,0,,2,,2015,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_INDSERV(4.3),,I,DEU,,M,,NODW,,IX,,F41,,Y,,_Z,,_Z,,N,,2016-03,,118.1197,,A,,0,,2,,2015,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_INDSERV(4.3),,I,DEU,,M,,NODW,,IX,,F41,,Y,,_Z,,_Z,,N,,2016-04,,115.4696,,A,,0,,2,,2015,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_INDSERV(4.3),,I,DEU,,M,,NODW,,IX,,F41,,Y,,_Z,,_Z,,N,,2016-05,,110.0431,,A,,0,,2,,2015,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_INDSERV(4.3),,I,DEU,,M,,NODW,,IX,,F41,,Y,,_Z,,_Z,,N,,2016-06,,120.3912,,A,,0,,2,,2015,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_INDSERV(4.3),,I,DEU,,M,,NODW,,IX,,F41,,Y,,_Z,,_Z,,N,,2011-11,,78.99884,,A,,0,,2,,2015,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_INDSERV(4.3),,I,DEU,,M,,NODW,,IX,,F41,,Y,,_Z,,_Z,,N,,2011-12,,88.71595,,A,,0,,2,,2015,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_INDSERV(4.3),,I,DEU,,M,,NODW,,IX,,F41,,Y,,_Z,,_Z,,N,,2005-09,,84.29909,,A,,0,,2,,2015,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_INDSERV(4.3),,I,DEU,,M,,NODW,,IX,,F41,,Y,,_Z,,_Z,,N,,2005-10,,80.89178,,A,,0,,2,,2015,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_INDSERV(4.3),,I,DEU,,M,,NODW,,IX,,F41,,Y,,_Z,,_Z,,N,,2005-11,,86.69682,,A,,0,,2,,2015,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_INDSERV(4.3),,I,DEU,,M,,NODW,,IX,,F41,,Y,,_Z,,_Z,,N,,2005-12,,92.12325,,A,,0,,2,,2015,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_INDSERV(4.3),,I,DEU,,M,,NODW,,IX,,F41,,Y,,_Z,,_Z,,N,,2017-10,,118.3721,,A,,0,,2,,2015,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_INDSERV(4.3),,I,DEU,,M,,NODW,,IX,,F41,,Y,,_Z,,_Z,,N,,2017-11,,112.3147,,A,,0,,2,,2015,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_INDSERV(4.3),,I,DEU,,M,,NODW,,IX,,F41,,Y,,_Z,,_Z,,N,,2012-10,,82.27995,,A,,0,,2,,2015,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_INDSERV(4.3),,I,DEU,,M,,NODW,,IX,,F41,,Y,,_Z,,_Z,,N,,2020-03,,113.9552,,A,,0,,2,,2015,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_INDSERV(4.3),,I,DEU,,M,,NODW,,IX,,F41,,Y,,_Z,,_Z,,N,,2020-04,,123.9247,,A,,0,,2,,2015,
