origin,seed_idx,1 step forecast,2 step forecast,3 step forecast,4 step forecast,5 step forecast,6 step forecast
2017-10-01,0,0.24639254808425903,0.5266367793083191,0.7189236283302307,0.8187148571014404,0.8714468479156494,0.9041429758071899
2017-10-01,1,0.29779088497161865,0.35768917202949524,0.2914477288722992,0.16073012351989746,-0.010914415121078491,-0.19000110030174255
2017-10-01,2,0.3638671934604645,0.4466191530227661,0.5099546909332275,0.5193027257919312,0.5042753219604492,0.49617135524749756
2017-10-01,3,0.5546331405639648,0.4737399220466614,0.4268535375595093,0.41311365365982056,0.4397971034049988,0.49691325426101685
2017-10-01,4,0.3113173246383667,0.5698150396347046,0.6336912512779236,0.6140519380569458,0.562012791633606,0.4769700765609741
2018-01-01,0,0.18130086362361908,0.32998108863830566,0.46606242656707764,0.7973586320877075,1.148001790046692,1.3281437158584595
2018-01-01,1,0.16182994842529297,0.3748745620250702,0.23459242284297943,-0.008195042610168457,-0.20217153429985046,-0.3053266108036041
2018-01-01,2,0.3443222641944885,0.5035308003425598,0.5638535022735596,0.6103554964065552,0.5937219858169556,0.5572412014007568
2018-01-01,3,0.34135550260543823,0.3776792585849762,0.32535484433174133,0.37617361545562744,0.3643992841243744,0.3720608651638031
2018-01-01,4,0.6133576035499573,0.7949575781822205,0.7862223982810974,0.8027470111846924,0.8163121342658997,0.8286093473434448
2018-04-01,0,0.5210971236228943,0.9249347448348999,1.2310032844543457,1.3174502849578857,1.3362042903900146,1.340820550918579
2018-04-01,1,0.5680924654006958,0.48656344413757324,0.4795767068862915,0.506840705871582,0.4748899042606354,0.4577183723449707
2018-04-01,2,0.3798483908176422,0.5738780498504639,0.6172612905502319,0.5165122747421265,0.4635854959487915,0.43517938256263733
2018-04-01,3,0.47944143414497375,0.7255896329879761,0.486317902803421,0.3651333153247833,0.3817593455314636,0.44257813692092896
2018-04-01,4,0.546398401260376,0.7932736277580261,0.8090479969978333,0.7492696642875671,0.6519501209259033,0.44811904430389404
2018-07-01,0,0.37449899315834045,0.6166656017303467,0.9694597721099854,1.1278612613677979,1.1889270544052124,1.2122080326080322
2018-07-01,1,0.21853972971439362,0.463240385055542,0.4640766978263855,0.42438921332359314,0.3777662217617035,0.31594645977020264
2018-07-01,2,0.044911712408065796,0.21596769988536835,0.3395906984806061,0.6365350484848022,0.8171952962875366,0.8299736976623535
