target_date,1 step forecast,2 step forecast,3 step forecast,4 step forecast,5 step forecast,6 step forecast
2018-01-01,0.37615347855140185,,,,,
2018-04-01,0.38205712515740736,0.37615347855140185,,,,
2018-07-01,0.3734835397247706,0.38205712515740736,0.37615347855140185,,,
2018-10-01,0.3772332464545454,0.3734835397247706,0.38205712515740736,0.37615347855140185,,
2019-01-01,0.3679367841261261,0.3772332464545454,0.3734835397247706,0.38205712515740736,0.37615347855140185,
2019-04-01,0.36863188207142855,0.3679367841261261,0.3772332464545454,0.3734835397247706,0.38205712515740736,0.37615347855140185
2019-07-01,0.3711754171327433,0.36863188207142855,0.3679367841261261,0.3772332464545454,0.3734835397247706,0.38205712515740736
2019-10-01,0.3684239762719298,0.3711754171327433,0.36863188207142855,0.3679367841261261,0.3772332464545454,0.3734835397247706
2020-01-01,0.3685523245043478,0.3684239762719298,0.3711754171327433,0.36863188207142855,0.3679367841261261,0.3772332464545454
2020-04-01,0.3624958275517241,0.3685523245043478,0.3684239762719298,0.3711754171327433,0.36863188207142855,0.3679367841261261
2020-07-01,0.3420481655299145,0.3624958275517241,0.3685523245043478,0.3684239762719298,0.3711754171327433,0.36863188207142855
2020-10-01,0.263945034059322,0.3420481655299145,0.3624958275517241,0.3685523245043478,0.3684239762719298,0.3711754171327433
2021-01-01,0.3346391093109244,0.263945034059322,0.3420481655299145,0.3624958275517241,0.3685523245043478,0.3684239762719298
2021-04-01,0.33990992175000007,0.3346391093109244,0.263945034059322,0.3420481655299145,0.3624958275517241,0.3685523245043478
2021-07-01,0.33201173570247944,0.33990992175000007,0.3346391093109244,0.263945034059322,0.3420481655299145,0.3624958275517241
2021-10-01,0.3485567931967214,0.33201173570247944,0.33990992175000007,0.3346391093109244,0.263945034059322,0.3420481655299145
2022-01-01,0.34642606967479683,0.3485567931967214,0.33201173570247944,0.33990992175000007,0.3346391093109244,0.263945034059322
2022-04-01,0.3479680651693549,0.34642606967479683,0.3485567931967214,0.33201173570247944,0.33990992175000007,0.3346391093109244
2022-07-01,0.3506083101760001,0.3479680651693549,0.34642606967479683,0.3485567931967214,0.33201173570247944,0.33990992175000007
2022-10-01,0.34903012899206354,0.3506083101760001,0.3479680651693549,0.34642606967479683,0.3485567931967214,0.33201173570247944
2023-01-01,0.3485935817637796,0.34903012899206354,0.3506083101760001,0.3479680651693549,0.34642606967479683,0.3485567931967214
2023-04-01,0.34314063682031254,0.3485935817637796,0.34903012899206354,0.3506083101760001,0.3479680651693549,0.34642606967479683
2023-07-01,0.3368261304418605,0.34314063682031254,0.3485935817637796,0.34903012899206354,0.3506083101760001,0.3479680651693549
2023-10-01,0.33364923041538463,0.3368261304418605,0.34314063682031254,0.3485935817637796,0.34903012899206354,0.3506083101760001
2024-01-01,0.3311023234503817,0.33364923041538463,0.3368261304418605,0.34314063682031254,0.3485935817637796,0.34903012899206354
2024-04-01,0.32650062495454546,0.3311023234503817,0.33364923041538463,0.3368261304418605,0.34314063682031254,0.3485935817637796
2024-07-01,0.323237604,0.32650062495454546,0.3311023234503817,0.33364923041538463,0.3368261304418605,0.34314063682031254
2024-10-01,0.318898118858209,0.323237604,0.32650062495454546,0.3311023234503817,0.33364923041538463,0.3368261304418605
2025-01-01,0.3166779732814815,0.318898118858209,0.323237604,0.32650062495454546,0.3311023234503817,0.33364923041538463
2025-04-01,0.31568895181617646,0.3166779732814815,0.318898118858209,0.323237604,0.32650062495454546,0.3311023234503817
2025-07-01,0.3160566582189781,0.31568895181617646,0.3166779732814815,0.318898118858209,0.323237604,0.32650062495454546
2025-10-01,0.31231530563043486,0.3160566582189781,0.31568895181617646,0.3166779732814815,0.318898118858209,0.323237604
